Pozo,SECTOR,Circuito,Factor de potencia,FP
823,Cradle,R-619,0.00144225,1
2202,High VPI,C-38 a C-45,0.001427827,0.99
2224,Cradle,R-619,0.00144225,1
2274,Central block,R-521 a C-45,0.00144225,1
2287,Central block,R-521 a C-45,0.00144225,1
2291,Central block,R-521 a C-45,0.00144225,1
2059,High VPI,R-210,0.00144225,1
2114,High VPI,C-38 a C-45,0.00144225,1
2116,High VPI,C-38 a R-53/R-521,0.00144225,1
2182,High VPI,C-38 a R-53/R-521,0.00144225,1
2191,High VPI,R-521 a C-45,0.00144225,1
2226,Cradle,R-619,0.00144225,1
2230,Cradle,R-619,0.001355715,0.94
2232,Cradle,R-619,0.00144225,1
2244,Central block,R-521,0.00144225,1
2246,Central block,R-521,0.00144225,1
2264,low injectivity,R-210,0.00144225,1
2268,Central block,R-210,0.00144225,1
2273,Central block,R-521 a C-45,0.00144225,1
2298,low injectivity,C-38 a C-45,0.00144225,1
2516,Lower Struc.,R-612,0.00144225,1
2536,Cira North 00,R-924,0.00144225,1
2556,Central block,R-619,0.00144225,1
2560,Central block,R-521,0.00144225,1
2572,Central block,R-210,0.00144225,1
2574,Cradle,R-619,0.00144225,1
2575,High VPI,R-521,0.00144225,1
2576,Central block,R-521,0.00144225,1
2577,Central block,R-521,0.00144225,1
2582,High VPI,C-38 a R-53/R-521,0.00144225,1
2604,Cradle,R-612,0.00144225,1
2630,Central block,R-619,0.00144225,1
2984,Central block,R-210,0.001413405,0.98
3902,Cira North 00,R-621,0.00144225,1
3913,Cira North 00,R-621,0.00144225,1
2200ST,Central block,R-521,0.00144225,1
2532,Central block,R-521 a C-45,0.00144225,1
2511,Central block,R-521 a C-45,0.001370137,0.95
3940,Central block,R-521,0.001298025,0.9
